titolo_film,anno_film,genere_cinematografico,forma_generale,numero_occhi,forma_testa,texture_superficiale,numero_arti,dimensione_rispetto_umano,colore_dominante,abbigliamento,volto_riconoscibile,tono_dominante,dettagli_secondari,prompt_ai,file
Balle Spaziali,1987,"Commedia, Fantascienza",umanoide,2,allungata,pelle,4,più piccolo,beige,sì,sì,comico,"cappello di paglia, occhi rossi, denti aguzzi, bastone, calzini bianchi","Alieno umanoide con 2 occhi, testa allungata, texture pelle, 4 arti, colore beige, dimensione più piccolo, abbigliamento sì, volto riconoscibile sì, tono comico.",spaceballs_a.jpg
Star Wars: Il ritorno dello Jedi,1983,Fantascienza,umanoide,2,allungata,pelle,sconosciuto,simile,rosa pallido,sì,sì,minaccioso,"occhi rossi, denti aguzzi, pelle pallida, tentacoli cranici, pelle rugosa, veste scura","alieno umanoide con 2 occhi, testa allungata, texture pelle, sconosciuto arti, colore rosa pallido, dimensione simile, abbigliamento sì, volto riconoscibile sì, tono minaccioso.",jedi-at-40-jabbas-court_article-feature_81e383a7.jpeg
Super 8,2011,"Fantascienza, Thriller",mostruoso,sconosciuto,indefinita,insettoide,più di 4,gigante,grigio-bianco,no,no,minaccioso,"esoscheletro corazzato, zampe da ragno, arti appuntiti, mandibole, denti aguzzi","alieno mostruoso con numero occhi sconosciuto, testa indefinita, texture insettoide, più di 4 arti, colore grigio-bianco, dimensione gigante, abbigliamento no, volto riconoscibile no, tono minaccioso.",underwater01.jpg
sconosciuto,sconosciuto,sconosciuto,umanoide,2,bulbosa,pelle,sconosciuto,simile,rosa-carnicino,sì,sì,minaccioso,"pelle rugosa, fronte corrugata, orecchie a punta, naso schiacciato, giacca scura","alieno umanoide con 2 occhi, testa bulbosa, texture pelle, dimensione simile a un umano, colore dominante rosa-carnicino, con abbigliamento, volto riconoscibile, tono minaccioso.",guardians-galaxy-2-brahl-actor.jpg
Star Wars: Episodio II - L'attacco dei cloni,2002,Fantascienza,umanoide,2,ovale,pelle,4,più grande,grigio pallido,sì,sì,neutro,"collo lungo, corpo esile, occhi neri grandi, pelle liscia, abito aderente","alieno umanoide con 2 occhi, testa ovale, texture pelle, 4 arti, colore grigio pallido, dimensione più grande, abbigliamento sì, volto riconoscibile sì, tono neutro.",5a39ae6109aa150001068e21-image_3be41089.jpeg
Alien vs. Predator,2004,Azione / Fantascienza / Horror,ibrido,0,allungata,insettoide,4,più grande,Nero,no,no,minaccioso,"esoscheletro biomeccanico, testa allungata, coda segmentata, artigli affilati, denti visibili","Alieno ibrido con 0 occhi, testa allungata, texture insettoide, 4 arti, colore dominante Nero, dimensione più grande rispetto a un umano, abbigliamento no, volto riconoscibile no, tono minaccioso.",Alien_vs_Predator.jpg
Men in Black,1997,"Fantascienza, Commedia, Azione",mostruoso,2,indefinita,insettoide,più di 4,gigante,marrone,no,sì,minaccioso,"esoscheletro, mandibole, occhi luminosi, antenne, denti aguzzi","alieno mostruoso con 2 occhi, testa indefinita, texture insettoide, più di 4 arti, colore marrone, dimensione gigante, abbigliamento no, volto riconoscibile sì, tono minaccioso.",images-3.jpeg
Cocoon - L'energia dell'universo,1985,"Fantascienza, Drammatico",umanoide,2,bulbosa,traslucido,sconosciuto,più piccolo,giallo,no,sì,empatico,"corpo luminoso, grandi occhi neri, pelle liscia, senza capelli, aura gialla","alieno umanoide con 2 occhi, testa bulbosa, texture traslucido, numero arti sconosciuto, colore dominante giallo, dimensione più piccolo, abbigliamento no, volto riconoscibile sì, tono empatico.",Cocoon-1985-di-Ron-Howard.jpg
Scontro tra titani,2010,"Azione, Fantasy",mostruoso,multipli,indefinita,organico,più di 4,gigante,blu-verdastro,no,sì,minaccioso,"occhi luminosi, denti affilati, bocca interna, pelle rugosa, tentacoli","Alieno mostruoso con multipli occhi, testa indefinita, texture organica, più di 4 arti, colore blu-verdastro, dimensione gigante, senza abbigliamento, volto riconoscibile, tono minaccioso.",underwater02.jpg
The Abyss,1989,Fantascienza,astratto,2,ovale,traslucido,sconosciuto,simile,blu,no,sì,empatico,"fatto d'acqua, traslucido, volto umano, bioluminescente, tentacolo liquido","Alieno astratto con 2 occhi, testa ovale, texture traslucido, numero arti sconosciuto, colore dominante blu, dimensione simile, abbigliamento no, volto riconoscibile sì, tono empatico.",the_abyss_1989_still.jpg.jpg
